Date,Open,High,Low,Close,Volume
8/18/2011,10.9,10.9,10.9,10.9,0.48990826
8/19/2011,11.85,11.85,11.15,11.69,1.92657814
8/20/2011,11.7,11.7,11.7,11.7,0.08547009
8/21/2011,11.7,11.7,11.7,11.7,0.08547009
8/22/2011,11.7,11.7,11.7,11.7,0.02863249
8/24/2011,11.5,11.5,10.5,10.5,2.35652174
8/25/2011,10,10,10,10,1.1
8/30/2011,8,8,8,8,1
9/1/2011,8,8.31,5.25,8.22,164.48
9/2/2011,8.12,8.88,8,8.88,79.76
9/4/2011,8.89,8.89,8.89,8.89,0.20022497
9/6/2011,8,8,8,8,21
9/7/2011,8.5,8.5,8.5,8.5,3
9/8/2011,7.98,7.98,7.4,7.4,6.86
9/13/2011,5.8,6,5.65,5.97,58.37138238
9/14/2011,5.58,5.72,5.52,5.53,61.14598362
9/15/2011,5.12,5.24,5,5.13,80.1407952
9/16/2011,4.82,4.87,4.8,4.85,39.9140068
9/17/2011,4.87,4.87,4.87,4.87,0.3
9/18/2011,4.87,4.92,4.81,4.92,119.8128
9/19/2011,4.9,4.9,4.9,4.9,20
9/20/2011,4.92,5.66,4.92,5.66,89.28071068
9/21/2011,5.7,5.79,5.66,5.66,17.62932238
9/22/2011,5.68,5.72,5.68,5.72,43.77842238
9/23/2011,5.7,5.72,5.7,5.72,20.68003681
9/24/2011,5.7,5.76,5.68,5.68,90.58706633
9/25/2011,6.05,6.05,6.05,6.05,12.22
9/26/2011,6.06,6.06,4.8,4.8,39.57846334
9/27/2011,4.85,4.92,4.85,4.92,24.3545
9/28/2011,4.9,4.91,4.82,4.82,83.0533258
9/29/2011,4.81,4.82,4.81,4.82,46.9645
10/3/2011,4.85,4.87,4.83,4.87,30.57595
10/4/2011,4.86,5.3,4.8,4.98,142.5216224
10/5/2011,4.92,6.25,4.8,4.92,113.72
10/6/2011,4.88,4.99,4.8,4.8,170.8435494
10/7/2011,4.8,4.81,4.59,4.61,94.64
10/8/2011,4.57,4.57,3.99,3.99,56
10/9/2011,3.89,3.89,3.89,3.89,11
10/10/2011,3.99,4.51,3.99,4.51,132.5
10/11/2011,3.98,4.1,3.98,4.1,78.08
10/12/2011,3.95,3.99,3.93,3.93,79.523525
10/13/2011,3.93,3.97,3.93,3.97,109.621766
10/14/2011,4.05,4.05,4.05,4.05,96.97751266
10/17/2011,3.92,3.92,3.92,3.92,10.24
10/20/2011,2.22,2.29,2.22,2.24,61.972332
10/21/2011,2.22,2.27,2.22,2.27,41.46334066
10/24/2011,2.99,2.99,2.92,2.92,64.54
10/25/2011,2.66,2.72,2.66,2.72,130.2993237
10/26/2011,2.72,3,2.67,2.69,268.2689727
10/28/2011,3.07,4.36,3.07,4.2,118.3778727
10/29/2011,3.69,4.4,3.69,3.95,88.432425
10/30/2011,3.85,3.85,3.2,3.5,116.381395
10/31/2011,3.25,3.55,3.2,3.3,68.99404308
11/1/2011,3.32,3.33,3.32,3.33,38.7771206
11/4/2011,3.27,3.55,3.21,3.55,117.0810387
11/5/2011,3.21,3.21,3,3,103.512
11/6/2011,2.95,2.95,2.95,2.95,203.388
11/8/2011,3.08,3.08,3.08,3.08,47.47212389
11/9/2011,3.09,3.3,3.09,3.3,58.86052015
11/10/2011,3.25,3.3,2.95,3.3,121.6677731
11/11/2011,3.3,3.3,3.3,3.3,65.434
11/12/2011,3.35,3.35,3.35,3.35,2.79
11/13/2011,3.35,3.35,3.35,3.35,29.48955224
11/14/2011,2.95,2.95,2.47,2.47,183.4
11/15/2011,2.99,3,2.5,2.5,97.3416118
11/16/2011,2.51,3,2.51,3,5.61666667
11/17/2011,3,3,2.5,2.99,17.01862876
11/18/2011,2.5,2.79,2.5,2.5,88.44
11/19/2011,2.5,2.5,2.43,2.43,48.87212355
11/20/2011,2.37,2.37,2.37,2.37,11
11/21/2011,2.45,3,2.25,2.25,290.5267758
11/22/2011,2.53,2.59,2.46,2.59,328.493346
11/24/2011,2.54,3,2.54,3,9.1446088
11/25/2011,2.5,15,2.5,2.75,179.787266
11/26/2011,2.77,2.77,2.77,2.77,10.09025271
11/28/2011,2.67,2.78,2.66,2.66,180.367149
11/29/2011,2.69,3.23,2.69,2.72,62.46464882
11/30/2011,3.19,3.19,3.19,3.19,14.53918495
12/1/2011,3.46,3.48,3.3,3.42,233.7800335
12/2/2011,3.45,3.45,3.04,3.04,131.7570402
12/3/2011,2.93,2.93,2.93,2.93,0.5
12/5/2011,2.82,2.99,2.82,2.93,207.3632656
12/6/2011,2.9,3.25,2.89,2.98,216.109289
12/7/2011,3.05,3.35,3.05,3.3,233.2092002
12/8/2011,3.27,3.5,2.95,3.3,115.7177271
12/10/2011,3.2,3.2,3,3.2,12.284375
12/11/2011,3.17,3.37,3.17,3.27,157.7788948
12/12/2011,3.37,3.6,3.37,3.48,75.61897495
12/13/2011,3.25,3.59,3.25,3.56,66.15055522
12/14/2011,3.42,3.49,3.42,3.47,90.7647307
12/15/2011,3.39,3.45,3.39,3.45,102.742029
12/16/2011,3.25,3.5,3.25,3.44,84.613001
12/18/2011,3.25,3.5,3.25,3.5,17.24285714
12/19/2011,3.5,3.98,3.5,3.85,134.734292
12/20/2011,4.75,4.75,4.53,4.55,94.74335338
12/21/2011,4.38,4.38,4.38,4.38,20.89954338
12/22/2011,4.19,4.19,4.17,4.17,8.53526439
12/23/2011,3.86,4.35,3.84,4.22,149.4925619
12/24/2011,4.33,4.33,4.33,4.33,27.22479474
12/25/2011,4.32,4.32,4.27,4.27,24.182423
12/26/2011,4.27,4.33,4.27,4.33,56.73660508
12/27/2011,4.33,4.33,4.29,4.29,58.07386739
12/28/2011,4.29,4.3,4.25,4.3,35.55011655
12/29/2011,4.3,4.5,4.3,4.5,36.56096221
12/30/2011,4.26,4.5,4.21,4.21,56.74004969
12/31/2011,4.39,4.58,4.39,4.58,95.3178781
1/1/2012,4.58,5,4.58,5,21.602
1/2/2012,5,5,5,5,19.048
1/3/2012,5.32,5.32,5.14,5.29,88.03728092
1/4/2012,4.93,5.57,4.93,5.57,107.2332602
1/5/2012,5.72,6.65,5.72,6.65,94.80182926
1/6/2012,6.65,6.9,6,6,33.88274671
1/7/2012,6.8,6.8,6.8,6.8,0.29585799
1/8/2012,6.9,7,6.9,7,5
1/9/2012,6.99,6.99,6.23,6.3,66.8693229
1/10/2012,6.24,7.14,6.24,7.14,62.28998018
1/11/2012,7.14,7.33,6.25,7,105.358934
1/12/2012,6.95,7.38,6.51,6.51,82.30163181
1/13/2012,6.8,7.36,6.6,6.6,48.97014484
1/14/2012,6.5,6.5,6.3,6.3,16.836
1/15/2012,7.15,7.15,7.15,7.15,16.6993007
1/16/2012,6.2,7.1,6.2,7.1,12.64929577
1/17/2012,6.5,6.9,6,6,80.51400824
1/18/2012,5.99,7.1,5.99,7.1,133.4467691
1/19/2012,5.52,7,5.52,6.22,246.715819
1/20/2012,6.9,6.95,6.55,6.95,95.82599863
1/21/2012,6.3,6.77,6.28,6.77,81.41385241
1/22/2012,6.79,6.83,6.03,6.79,81.27103303
1/23/2012,6.5,6.52,6,6.52,94.92062909
1/24/2012,6.52,6.57,6,6.55,85.44624147
1/25/2012,6.26,6.86,6,6.31,81.1232564
1/26/2012,6.27,6.3,5.5,5.5,29.91907058
1/27/2012,3.8,6.03,3.8,5.88,92.07999287
1/28/2012,4.91,4.91,4.91,4.91,0.25
1/29/2012,5.89,5.9,5.3,5.5,9.45484643
1/30/2012,5.3,5.58,5.3,5.58,15.16
1/31/2012,5.7,6.22,3.8,5.3,110.5033333
2/1/2012,5.53,5.99,5.52,5.88,12.05880628
2/2/2012,5.99,6.28,5.89,6.28,251.00093
2/3/2012,6.29,6.35,5.93,6.3,155.5524532
2/4/2012,6.35,6.5,5.94,5.94,67.63499409
2/5/2012,5.93,6.15,5.6,5.6,47.85042396
2/6/2012,5.6,5.9,5.2,5.6,29.17833833
2/7/2012,5.5,5.88,5.5,5.69,165.405419
2/8/2012,5.79,5.87,5.66,5.87,83.57202011
2/9/2012,5.52,5.89,5.51,5.89,83.60318875
2/10/2012,5.88,5.88,5.8,5.88,176.9305038
2/11/2012,5.71,5.71,5.5,5.5,1.8794878
2/12/2012,5.78,5.78,5.55,5.67,64.8434324
2/13/2012,5.53,5.79,5.5,5.79,99.78443902
